No,Name,DexEntry
1,Bulbasaur,AstrangeseedwasplantedonitsbackatbirthTheplantsproutsandgrowswiththisPOKEMON
2,Ivysaur,Whenthebulbonitsbackgrowslargeitappearstolosetheabilitytostandonitshindlegs
3,Venusaur,TheplantbloomswhenitisabsorbingsolarenergyItstaysonthemovetoseeksunlight
4,Charmander,ObviouslyprefershotplacesWhenitrainssteamissaidtospoutfromthetipofitstail
5,Charmeleon,Whenitswingsitsburningtailitelevatesthetemperaturetounbearablyhighlevels
6,Charizard,SpitsfirethatishotenoughtomeltbouldersKnowntocauseforestfiresunintentionally
7,Squirtle,AfterbirthitsbackswellsandhardensintoashellPowerfullyspraysfoamfromitsmouth
8,Wartortle,OftenhidesinwatertostalkunwarypreyForswimmingfastitmovesitsearstomaintainbalance
9,Blastoise,AbrutalPOKEMONwithpressurizedwaterjetsonitsshellTheyareusedforhighspeedtackles
10,Caterpie,Itsshortfeetaretippedwithsuctionpadsthatenableittotirelesslyclimbslopesandwalls
11,Metapod,ThisPOKEMONisvulnerabletoattackwhileitsshellissoftexposingitsweakandtenderbody
12,Butterfree,Inbattleitflapsitswingsathighspeedtoreleasehighlytoxicdustintotheair
13,Weedle,OftenfoundinforestseatingleavesIthasasharpvenomousstingeronitshead
14,Kakuna,AlmostincapableofmovingthisPOKEMONcanonlyhardenitsshelltoprotectitselffrompredators
15,Beedrill,Fliesathighspeedandattacksusingitslargevenomousstingersonitsforelegsandtail
16,Pidgey,AcommonsightinforestsandwoodsItflapsitswingsatgroundleveltokickupblindingsand
17,Pidgeotto,VeryprotectiveofitssprawlingterritorialareathisPOKEMONwillfiercelypeckatanyintruder
18,Pidgeot,WhenhuntingitskimsthesurfaceofwaterathighspeedtopickoffunwarypreysuchasMAGIKARP
19,Rattata,BitesanythingwhenitattacksSmallandveryquickitisacommonsightinmanyplaces
20,Ratciate,ItusesitswhiskerstomaintainitsbalanceItapparentlyslowsdowniftheyarecutoff
21,Spearow,EatsbugsingrassyareasIthastoflapitsshortwingsathighspeedtostayairborne
22,Fearow,Withitshugeandmagnificentwingsitcankeepaloftwithouteverhavingtolandforrest
23,Ekans,MovessilentlyandstealthilyEatstheeggsofbirdssuchasPIDGEYandSPEAROWwhole
24,Arbok,Itisrumoredthattheferociouswarningmarkingsonitsbellydifferfromareatoarea
25,Pikachu,WhenseveralofthesePOKEMONgathertheirelectricitycouldbuildandcauselightningstorms
26,Raichu,Itslongtailservesasagroundtoprotectitselffromitsownhighvoltagepower
27,Sandshrew,BurrowsdeepundergroundinaridlocationsfarfromwaterItonlyemergestohuntforfood
28,Sandslash,CurlsupintoaspinyballwhenthreatenedItcanrollwhilecurleduptoattackorescape
29,Nidoranf,AlthoughsmallitsvenomousbarbsrenderthisPOKEMONdangerousThefemalehassmallerhorns
30,Nidorina,ThefemaleshorndevelopsslowlyPrefersphysicalattackssuchasclawingandbiting
31,Nidoqueen,ItshardscalesprovidestrongprotectionItusesitsheftybulktoexecutepowerfulmoves
32,Nidoranm,StiffensitsearstosensedangerThelargeritshornsthemorepowerfulitssecretedvenom
33,Nidorino,AnaggressivePOKEMONthatisquicktoattackThehornonitsheadsecretesapowerfulvenom
34,Nidoking,Itusesitspowerfultailinbattletosmashconstrictthenbreakthepreysbones
35,Clefairy,ItsmagicalandcuteappealhasmanyadmirersItisrareandfoundonlyincertainareas
36,Clefable,AtimidfairyPOKEMONthatisrarelyseenItwillrunandhidethemomentitsensespeople
37,Vulpix,AtthetimeofbirthithasjustonetailThetailsplitsfromitstipasitgrowsolder
38,Ninetales,VerysmartandveryvengefulGrabbingoneofitsmanytailscouldresultinaonethousandyearcurse
39,Jigglypuff,Whenitshugeeyeslightupitsingsamysteriouslysoothingmelodythatlullsitsenemiestosleep
40,Wigglytuff,ThebodyissoftandrubberyWhenangereditwillsuckinairandinflateitselftoanenormoussize
41,Zubat,FormscoloniesinperpetuallydarkplacesUsesultrasonicwavestoidentifyandapproachtargets
42,Golbat,Onceitstrikesitwillnotstopdrainingenergyfromthevictimevenifitgetstooheavytofly
43,Oddish,DuringthedayitkeepsitsfaceburiedinthegroundAtnightitwandersaroundsowingitsseeds
44,Gloom,ThefluidthatoozesfromitsmouthisntdroolItisanectarthatisusedtoattractprey
45,Vileplume,ThelargeritspetalsthemoretoxicpollenitcontainsItsbigheadisheavyandhardtoholdup
46,Paras,BurrowstosucktreerootsThemushroomsonitsbackgrowbydrawingnutrientsfromthebughost
47,Parasect,AhostparasitepairinwhichtheparasitemushroomhastakenoverthehostbugPrefersdampplaces
48,Venonat,LivesintheshadowsoftalltreeswhereiteatsinsectsItisattractedbylightatnight
49,Venomoth,Thedustlikescalescoveringitswingsarecolorcodedtoindicatethekindsofpoisonithas
50,Diglett,LivesaboutoneyardundergroundwhereitfeedsonplantrootsItsometimesappearsaboveground
51,Dugtrio,AteamofDIGLETTtripletsIttriggershugeearthquakesbyburrowingsixtymilesunderground
52,Meowth,AdorescircularobjectsWandersthestreetsonanightlybasistolookfordroppedloosechange
53,Persian,Althoughitsfurhasmanyadmirersitistoughtoraiseasapetbecauseofitsficklemeanness
54,Psyduck,WhilelullingitsenemieswithitsvacantlookthiswilyPOKEMONwillusepsychokineticpowers
55,Golduck,OftenseenswimmingelegantlybylakeshoresItisoftenmistakenfortheJapanesemonsterKappa
56,Mankey,ExtremelyquicktoangerItcouldbedocileonemomentthenthrashingawaythenextinstant
57,Primeape,AlwaysfuriousandtenacioustobootItwillnotabandonchasingitsquarryuntilitiscaught
58,Growlithe,VeryprotectiveofitsterritoryItwillbarkandbitetorepelintrudersfromitsspace
59,Arcanine,APOKEMONthathasbeenadmiredsincethepastforitsbeautyItrunsagilelyasifonwings
60,Poliwag,ItsnewlygrownlegspreventitfromrunningItappearstopreferswimmingthantryingtostand
61,Poliwhirl,CapableoflivinginoroutofwaterWhenoutofwateritsweatstokeepitsbodyslimy
62,Poliwrath,AnadeptswimmeratboththefrontcrawlandbreaststrokeEasilyovertakesthebesthumanswimmers
63,Abra,UsingitsabilitytoreadmindsitwillidentifyimpendingdangerandTELEPORTtosafety
64,Kadabra,Itemitsspecialalphawavesfromitsbodythatinduceheadachesjustbybeingcloseby
65,Alakazam,ItsbraincanoutperformasupercomputerItsintelligencequotientissaidtobe5000
66,Machop,LovestobuilditsmusclesIttrainsinallstylesofmartialartstobecomeevenstronger
67,Machoke,Itsmuscularbodyissopowerfulitmustwearapowersavebelttobeabletoregulateitsmotions
68,Machamp,Usingitsheavymusclesitthrowspowerfulpunchesthatcansendthevictimclearoverthehorizon
69,Bellsprout,AcarnivorousPOKEMONthattrapsandeatsbugsItusesitsrootfeettosoakupneededmoisture
70,Weepinbell,ItspitsoutPOISONPOWDERtoimmobilizetheenemyandthenfinishesitwithasprayofACID
71,Victreebel,Saidtoliveinhugecoloniesdeepinjunglesalthoughnoonehaseverreturnedfromthere
72,Tentacool,DriftsinshallowseasAnglerswhohookthembyaccidentareoftenpunishedbyitsstingingacid
73,Tentacruel,ThetentaclesarenormallykeptshortOnhuntstheyareextendedtoensnareandimmobilizeprey
74,Geodude,FoundinfieldsandmountainsMistakingthemforboulderspeopleoftensteportriponthem
75,Graveler,RollsdownslopestomoveItrollsoveranyobstaclewithoutslowingorchangingitsdirection
76,Golem,ItsboulderlikebodyisextremelyhardItcaneasilywithstanddynamiteblastswithoutdamage
77,Ponyta,ItshoovesaretentimesharderthandiamondsItcantrampleanythingcompletelyflatinlittletime
78,Rapidash,VerycompetitivethisPOKEMONwillchaseanythingthatmovesfastinthehopesofracingit
79,Slowpoke,IncrediblyslowanddopeyIttakes5secondsforittofeelpainwhenunderattack
80,Slowbro,TheSHELLDERthatislatchedontoSLOWPOKEstailissaidtofeedonthehostsleftoverscraps
81,Magnemite,UsesantigravitytostaysuspendedAppearswithoutwarningandusesTHUNDERWAVEandsimilarmoves
82,Magneton,FormedbyseveralMAGNEMITEslinkedtogetherTheyfrequentlyappearwhensunspotsflareup
83,Farfetchd,ThesprigofgreenonionsitholdsisitsweaponItisusedmuchlikeametalsword
84,Doduo,AbirdthatmakesupforitspoorflyingwithitsfastfootspeedLeavesgiantfootprints
85,Dodrio,UsesitsthreebrainstoexecutecomplexplansWhiletwoheadssleeponeheadstaysawake
86,Seel,TheprotrudinghornonitsheadisveryhardItisusedforbashingthroughthickice
87,Dewgong,StoresthermalenergyinitsbodySwimsatasteadyeightknotseveninintenselycoldwaters
88,Grimer,AppearsinfilthyareasThrivesbysuckinguppollutedsludgethatispumpedoutoffactories
89,Muk,ThicklycoveredwithafilthyvilesludgeItissotoxicevenitsfootprintscontainpoison
90,Shellder,ItshardshellrepelsanykindofattackItisvulnerableonlywhenitsshellisopen
91,Cloyster,WhenattackeditlaunchesitshornsinquickvolleysItsinnardshaveneverbeenseen
92,Gastly,AlmostinvisiblethisgaseousPOKEMONcloaksthetargetandputsittosleepwithoutnotice
93,Haunter,Becauseofitsabilitytoslipthroughblockwallsitissaidtobefromanotherdimension
94,Gengar,UnderafullmoonthisPOKEMONlikestomimictheshadowsofpeopleandlaughattheirfright
95,Onix,Asitgrowsthestoneportionsofitsbodyhardentobecomesimilartoadiamondbutcoloredblack
96,Drowzee,PutsenemiestosleeptheneatstheirdreamsOccasionallygetssickfromeatingbaddreams
97,Hypno,WhenitlockseyeswithanenemyitwilluseamixofPSImovessuchasHYPNOSISandCONFUSION
98,Krabby,Itspincersarenotonlypowerfulweaponstheyareusedforbalancewhenwalkingsideways
99,Kingler,ThelargepincerhastenthousandhpofcrushingpowerHoweveritshugesizemakesitunwieldytouse
100,Voltorb,UsuallyfoundinpowerplantsEasilymistakenforaPOKeBALLtheyhavezappedmanypeople
101,Electrode,ItstoreselectricenergyunderveryhighpressureItoftenexplodeswithlittleornoprovocation
102,Exeggcute,OftenmistakenforeggsWhendisturbedtheyquicklygatherandattackinswarms
103,Exeggutor,LegendhasitthatonrareoccasionsoneofitsheadswilldropoffandcontinueonasanEXEGGCUTE
104,Cubone,BecauseitneverremovesitsskullhelmetnoonehaseverseenthisPOKEMONsrealface
105,Marowak,TheboneitholdsisitskeyweaponItthrowstheboneskillfullylikeaboomerangtoKOtargets
106,Hitmonlee,WheninahurryitslegslengthenprogressivelyItrunssmoothlywithextralonglopingstrides
107,Hitmonchan,Whileapparentlydoingnothingitfirespunchesinlightningfastvolleysthatareimpossibletosee
108,Lickitung,ItstonguecanbeextendedlikeachameleonsItleavesatinglingsensationwhenitlicksenemies
109,Koffing,Becauseitstoresseveralkindsoftoxicgasesinitsbodyitispronetoexplodingwithoutwarning
110,Weezing,WheretwokindsofpoisongasesmeettwoKOFFINGscanfuseintoaWEEZINGovermanyyears
111,Rhyhorn,ItsmassivebonesareonethousandtimesharderthanhumanbonesItcaneasilyknockatrailerflying
112,Rhydon,Protectedbyanarmorlikehideitiscapableoflivinginmoltenlavaofthreethousandsixhundreddegrees
113,Chansey,ArareandelusivePOKEMONthatissaidtobringhappinesstothosewhomanagetogetit
114,Tangela,ThewholebodyisswathedwithwidevinesthataresimilartoseaweedItsvinesshakeasitwalks
115,Kangaskhan,Theinfantrarelyventuresoutofitsmothersprotectivepouchuntilitisthreeyearsold
116,Horsea,Knowntoshootdownflyingbugswithprecisionblastsofinkfromthesurfaceofthewater
117,Seadra,Knowntoshootdownflyingbugswithprecisionblastsofinkfromthesurfaceofthewater
118,Goldeen,ItstailfinbillowslikeanelegantballroomdressgivingitthenicknameoftheWaterQueen
119,Seaking,Intheautumnspawningseasontheycanbeseenswimmingpowerfullyupriversandcreeks
120,Staryu,AnenigmaticPOKEMONthatcaneffortlesslyregenerateanyappendageitlosesinbattle
121,Starmie,ItscentralcoreglowswiththesevencolorsoftherainbowSomepeoplevaluethecoreasagem
122,MrMime,Ifinterruptedwhileitismimingitwillslaparoundtheoffenderwithitsbroadhands
123,Scyther,Withninjalikeagilityandspeeditcancreatetheillusionthatthereismorethanone
124,Jynx,ItseductivelywigglesitshipsasitwalksItcancausepeopletodanceinunisonwithit
125,Electabuzz,Normallyfoundnearpowerplantstheycanwanderawayandcausemajorblackoutsincities
126,Magmar,Itsbodyalwaysburnswithanorangeglowthatenablesittohideperfectlyamongflames
127,Pinsir,Ifitfailstocrushthevictiminitspincersitwillswingitaroundandtossithard
128,Tauros,Whenittargetsanenemyitchargesfuriouslywhilewhippingitsbodywithitslongtails
129,Magikarp,Inthedistantpastitwassomewhatstrongerthanthehorriblyweakdescendantsthatexisttoday
130,Gyrados,RarelyseeninthewildHugeandviciousitiscapableofdestroyingentirecitiesinarage
131,Lapras,APOKEMONthathasbeenoverhuntedalmosttoextinctionItcanferrypeopleacrossthewater
132,Ditto,APOKEMONthathasbeenoverhuntedalmosttoextinctionItcanferrypeopleacrossthewater
133,Eevee,ItsgeneticcodeisirregularItmaymutateifitisexposedtoradiationfromelementSTONEs
134,Vaporeon,LivesclosetowaterItslongtailisridgedwithafinwhichisoftenmistakenforamermaids
135,Jolteon,Itaccumulatesnegativeionsintheatmospheretoblastouttenthousandvoltlightningbolts
136,Flareon,Whenstoringthermalenergyinitsbodyitstemperaturecouldsoartooveronethousandsixhundreddegrees
137,Porygon,APOKEMONthatconsistsentirelyofprogrammingcodeCapableofmovingfreelyincyberspace
138,Omanyte,Althoughlongextinctinrarecasesitcanbegeneticallyresurrectedfromfossils
139,Omastar,AprehistoricPOKEMONthatdiedoutwhenitsheavyshellmadeitimpossibletocatchprey
140,Kabuto,APOKEMONthatwasresurrectedfromafossilfoundinwhatwasoncetheoceanflooreonsago
141,Kabutops,APOKEMONthatwasresurrectedfromafossilfoundinwhatwasoncetheoceanflooreonsago
142,Aerodactyl,AferociousprehistoricPOKEMONthatgoesfortheenemysthroatwithitsserratedsawlikefangs
143,Snorlax,VerylazyJusteatsandsleepsAsitsrotundbulkbuildsitbecomessteadilymoreslothful
144,Articuno,AlegendarybirdPOKEMONthatissaidtoappeartodoomedpeoplewhoarelostinicymountains
145,Zapdos,AlegendarybirdPOKEMONthatissaidtoappearfromcloudswhiledroppingenormouslightningbolts
146,Moltres,KnownasthelegendarybirdoffireEveryflapofitswingscreatesadazzlingflashofflames
147,Dratini,LongconsideredamythicalPOKEMONuntilrecentlywhenasmallcolonywasfoundlivingunderwater
148,Dragonair,AmysticalPOKEMONthatexudesagentleauraHastheabilitytochangeclimateconditions
149,Dragonite,AnextremelyrarelyseenmarinePOKEMONItsintelligenceissaidtomatchthatofhumans
150,Mewtwo,ItwascreatedbyascientistafteryearsofhorrificgenesplicingandDNAengineeringexperiments
151,Mew,SorarethatitisstillsaidtobeamiragebymanyexpertsOnlyafewpeoplehaveseenitworldwide
